,Title,URL
812,Resident Evil 6,/game/switch/resident-evil-6
813,Zumba Burn it Up!,/game/switch/zumba-burn-it-up!
814,Where the Water Tastes Like Wine,/game/switch/where-the-water-tastes-like-wine
815,Lost Sphear,/game/switch/lost-sphear
816,Call of Juarez: Gunslinger,/game/switch/call-of-juarez-gunslinger
817,Disco Dodgeball Remix,/game/switch/disco-dodgeball-remix
818,Irony Curtain: From Matryoshka with Love,/game/switch/irony-curtain-from-matryoshka-with-love
819,Q.U.B.E. 2,/game/switch/qube-2
820,The Shapeshifting Detective,/game/switch/the-shapeshifting-detective
821,ChromaGun,/game/switch/chromagun
822,NBA 2K Playgrounds 2,/game/switch/nba-2k-playgrounds-2
823,Football Manager 2019 Touch,/game/switch/football-manager-2019-touch
824,The Church in the Darkness,/game/switch/the-church-in-the-darkness
825,Dragon Marked For Death,/game/switch/dragon-marked-for-death
826,Akane,/game/switch/akane
827,Final Fantasy XV Pocket Edition HD,/game/switch/final-fantasy-xv-pocket-edition-hd
828,Mario &amp; Sonic at the Olympic Games: Tokyo 2020,/game/switch/mario-sonic-at-the-olympic-games-tokyo-2020
829,Phantom Breaker: Battle Grounds Overdrive,/game/switch/phantom-breaker-battle-grounds-overdrive
830,Manticore: Galaxy on Fire,/game/switch/manticore-galaxy-on-fire
831,Azure Reflections,/game/switch/azure-reflections
832,Kine,/game/switch/kine
833,Daemon X Machina,/game/switch/daemon-x-machina
834,Mercenaries Saga Chronicles,/game/switch/mercenaries-saga-chronicles
835,Syberia 2,/game/switch/syberia-2
836,Table Top Racing: World Tour - Nitro Edition,/game/switch/table-top-racing-world-tour---nitro-edition
837,The Stillness of the Wind,/game/switch/the-stillness-of-the-wind
838,Call of Cthulhu: The Official Video Game,/game/switch/call-of-cthulhu-the-official-video-game
839,Automachef,/game/switch/automachef
840,Heroki,/game/switch/heroki
841,Project Nimbus: Complete Edition,/game/switch/project-nimbus-complete-edition
842,Sword Art Online: Hollow Realization - Deluxe Edition,/game/switch/sword-art-online-hollow-realization---deluxe-edition
843,Of Mice and Sand: Revised,/game/switch/of-mice-and-sand-revised
844,Typoman: Revised,/game/switch/typoman-revised
845,Friday The 13th: The Game - Ultimate Slasher Switch Edition,/game/switch/friday-the-13th-the-game---ultimate-slasher-switch-edition
846,FIFA 18,/game/switch/fifa-18
847,One Piece: Unlimited World Red - Deluxe Edition,/game/switch/one-piece-unlimited-world-red---deluxe-edition
848,Black The Fall,/game/switch/black-the-fall
849,Her Majesty's SPIFFING,/game/switch/her-majestys-spiffing
850,Black Hole,/game/switch/black-hole
851,Yesterday Origins,/game/switch/yesterday-origins
852,INK,/game/switch/ink
853,Bow to Blood: Last Captain Standing,/game/switch/bow-to-blood-last-captain-standing
854,ClusterPuck 99,/game/switch/clusterpuck-99
855,Nintendo Labo: Toycon 02 Robot Kit,/game/switch/nintendo-labo-toycon-02-robot-kit
856,Frederic: Resurrection of Music,/game/switch/frederic-resurrection-of-music
857,Rad,/game/switch/rad
858,Saturday Morning RPG,/game/switch/saturday-morning-rpg
859,Oninaki,/game/switch/oninaki
860,Super Beat Sports,/game/switch/super-beat-sports
861,Lapis x Labyrinth,/game/switch/lapis-x-labyrinth
862,Sparkle Unleashed,/game/switch/sparkle-unleashed
863,Azkend 2: The World Beneath,/game/switch/azkend-2-the-world-beneath
864,Earth Wars,/game/switch/earth-wars
865,Manual Samuel,/game/switch/manual-samuel
866,Degrees of Separation,/game/switch/degrees-of-separation
867,Polyroll: The Rolling Bug,/game/switch/polyroll-the-rolling-bug
868,JYDGE,/game/switch/jydge
869,The Escapists: Complete Edition,/game/switch/the-escapists-complete-edition
870,Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure,/game/switch/minecraft-story-mode---a-telltale-games-series---the-complete-adventure
871,Atari Flashback Classics,/game/switch/atari-flashback-classics
872,Golazo!,/game/switch/golazo!
873,The King's Bird,/game/switch/the-kings-bird
874,Tachyon Project,/game/switch/tachyon-project
875,The Men of Yoshiwara: Kikuya,/game/switch/the-men-of-yoshiwara-kikuya
876,Cities: Skylines - Nintendo Switch Edition,/game/switch/cities-skylines---nintendo-switch-edition
877,Word Search by POWGI,/game/switch/word-search-by-powgi
878,Nuclien,/game/switch/nuclien
879,Masquerada: Songs and Shadows,/game/switch/masquerada-songs-and-shadows
880,Neon Chrome,/game/switch/neon-chrome
881,Double Cross,/game/switch/double-cross
882,The Longest Five Minutes,/game/switch/the-longest-five-minutes
883,Urban Trial Playground,/game/switch/urban-trial-playground
884,My Brother Rabbit,/game/switch/my-brother-rabbit
885,Felix the Reaper,/game/switch/felix-the-reaper
886,Sky Force Anniversary,/game/switch/sky-force-anniversary
887,Hive Jump,/game/switch/hive-jump
888,Yaga,/game/switch/yaga
889,Jet Kave Adventure,/game/switch/jet-kave-adventure
890,Travis Strikes Again: No More Heroes,/game/switch/travis-strikes-again-no-more-heroes
891,Elli,/game/switch/elli
892,Rest in Pieces,/game/switch/rest-in-pieces
893,Type:Rider,/game/switch/typerider
894,Picross S,/game/switch/picross-s
895,Infernium,/game/switch/infernium
896,Eternum Ex,/game/switch/eternum-ex
897,Sega Ages: Ichidant-R,/game/switch/sega-ages-ichidant-r
898,LEGRAND LEGACY: Tale of the Fatebounds,/game/switch/legrand-legacy-tale-of-the-fatebounds
899,Shape of the World,/game/switch/shape-of-the-world
900,Giga Wrecker Alt.,/game/switch/giga-wrecker-alt
901,Crossing Souls,/game/switch/crossing-souls
902,Save me Mr Tako: Tasukete Tako-San,/game/switch/save-me-mr-tako-tasukete-tako-san
903,King Oddball,/game/switch/king-oddball
904,Spellspire,/game/switch/spellspire
905,Yuso,/game/switch/yuso
906,Windscape,/game/switch/windscape
907,Astro Bears,/game/switch/astro-bears
908,Nine Parchments,/game/switch/nine-parchments
909,Oceanhorn: Monster of Uncharted Seas,/game/switch/oceanhorn-monster-of-uncharted-seas
910,NORTH,/game/switch/north
911,Fitness Boxing,/game/switch/fitness-boxing
912,Super Street: Racer,/game/switch/super-street-racer
913,Toki,/game/switch/toki
914,Clue: The Classic Mystery Game,/game/switch/clue-the-classic-mystery-game
915,Golem Gates,/game/switch/golem-gates
916,Ultra Street Fighter II: The Final Challengers,/game/switch/ultra-street-fighter-ii-the-final-challengers
917,Qbics Paint,/game/switch/qbics-paint
918,Infinite Minigolf,/game/switch/infinite-minigolf
919,Gunbarich,/game/switch/gunbarich
920,Sausage Sports Club,/game/switch/sausage-sports-club
921,VSR: Void Space Racing,/game/switch/vsr-void-space-racing
922,Red's Kingdom,/game/switch/reds-kingdom
923,Chiki-Chiki Boxy Racers,/game/switch/chiki-chiki-boxy-racers
924,Monster Energy Supercross:  The Official Videogame 2,/game/switch/monster-energy-supercross-the-official-videogame-2
925,Shadow Blade: Reload,/game/switch/shadow-blade-reload
926,Super Blood Hockey,/game/switch/super-blood-hockey
927,Galaxy Champions TV,/game/switch/galaxy-champions-tv
928,SELF,/game/switch/self
929,Tennis in the Face,/game/switch/tennis-in-the-face
930,Aperion Cyberstorm,/game/switch/aperion-cyberstorm
931,DreamWorks Dragons Dawn of New Riders,/game/switch/dreamworks-dragons-dawn-of-new-riders
932,Fallen Legion: Rise to Glory,/game/switch/fallen-legion-rise-to-glory
933,Fairy Fencer F: Advent Dark Force,/game/switch/fairy-fencer-f-advent-dark-force
934,Code of Princess EX,/game/switch/code-of-princess-ex
935,Mutant Football League: Dynasty Edition,/game/switch/mutant-football-league-dynasty-edition
936,Tiny Metal,/game/switch/tiny-metal
937,Mr. Shifty,/game/switch/mr-shifty
938,The LEGO NINJAGO Movie Video Game,/game/switch/the-lego-ninjago-movie-video-game
939,The Adventures of Elena Temple,/game/switch/the-adventures-of-elena-temple
940,This is the Police,/game/switch/this-is-the-police
941,Heroland,/game/switch/heroland
942,Nights of Azure 2: Bride of the New Moon,/game/switch/nights-of-azure-2-bride-of-the-new-moon
943,FOX n FORESTS,/game/switch/fox-n-forests
944,Bubble Bobble 4 Friends,/game/switch/bubble-bobble-4-friends
945,LEGO The Incredibles,/game/switch/lego-the-incredibles
